Earthquakes used: 293452
Non-empty cells (features): 9915

CUDA K-Means centroids:
Cluster 0 -> count_center=67.88, avgMag_center=4.79
Cluster 1 -> count_center=6.00, avgMag_center=4.80
Cluster 2 -> count_center=234.00, avgMag_center=4.80

========== TIMING RESULTS ==========
CUDA K-Means time (GPU only): 10.354 ms
Block size used:              128
====================================

Cluster ranking by activity:
Rank 0 -> Cluster 1 (quiet)
Rank 1 -> Cluster 0 (moderate)
Rank 2 -> Cluster 2 (hotspot)

Hotspot map (one line per non-empty cell):
lat_center,lon_center,count,avgMag,clusterId,clusterLabel
-60.500,-34.500,4,4.750,1,quiet
-60.500,-33.500,5,4.980,1,quiet
-60.500,-32.500,3,4.600,1,quiet
-60.500,-31.500,3,5.033,1,quiet
-60.500,-30.500,3,4.833,1,quiet
-60.500,-29.500,5,4.600,1,quiet
-60.500,-28.500,20,4.825,1,quiet
-60.500,-27.500,72,4.822,0,moderate
-60.500,-26.500,128,4.838,0,moderate
-60.500,-25.500,69,4.807,0,moderate
-60.500,-24.500,48,4.823,0,moderate
-60.500,-23.500,8,4.938,1,quiet
-60.500,-22.500,3,4.600,1,quiet
-60.500,-20.500,5,5.480,1,quiet
-60.500,-19.500,8,4.800,1,quiet
-60.500,-18.500,8,4.888,1,quiet
-60.500,150.500,4,5.525,1,quiet
-60.500,151.500,1,4.700,1,quiet
-60.500,152.500,2,4.550,1,quiet
-60.500,153.500,4,5.125,1,quiet
-60.500,154.500,3,5.767,1,quiet
-60.500,155.500,1,4.900,1,quiet
-60.500,159.500,4,4.725,1,quiet
-60.500,160.500,2,5.800,1,quiet
-59.500,-151.500,11,4.791,1,quiet
-59.500,-150.500,5,5.180,1,quiet
-59.500,-148.500,1,4.600,1,quiet
-59.500,-76.500,1,4.900,1,quiet
-59.500,-62.500,2,4.700,1,quiet
-59.500,-61.500,6,5.083,1,quiet
-59.500,-60.500,4,4.800,1,quiet
-59.500,-58.500,1,5.000,1,quiet
-59.500,-50.500,1,4.500,1,quiet
-59.500,-30.500,1,4.700,1,quiet
-59.500,-29.500,23,4.948,1,quiet
-59.500,-28.500,8,4.925,1,quiet
-59.500,-27.500,25,4.908,1,quiet
-59.500,-26.500,239,4.902,2,hotspot
-59.500,-25.500,252,4.762,2,hotspot
-59.500,-24.500,44,4.720,0,moderate
-59.500,-23.500,20,4.750,1,quiet
-59.500,-22.500,1,4.600,1,quiet
-59.500,-20.500,1,4.900,1,quiet
-59.500,-18.500,1,5.200,1,quiet
-59.500,-17.500,11,5.145,1,quiet
-59.500,148.500,3,4.633,1,quiet
-59.500,149.500,12,4.833,1,quiet
-59.500,150.500,2,5.450,1,quiet
-59.500,158.500,5,5.220,1,quiet
-59.500,159.500,5,4.840,1,quiet
-59.500,160.500,2,4.650,1,quiet
-58.500,-152.500,1,4.500,1,quiet
-58.500,-150.500,1,4.600,1,quiet
-58.500,-149.500,3,4.800,1,quiet
-58.500,-148.500,2,4.600,1,quiet
-58.500,-146.500,1,4.600,1,quiet
-58.500,-139.500,9,4.889,1,quiet
-58.500,-64.500,1,5.400,1,quiet
-58.500,-63.500,1,5.500,1,quiet
-58.500,-62.500,3,5.033,1,quiet
-58.500,-61.500,2,4.850,1,quiet
-58.500,-30.500,2,4.700,1,quiet
-58.500,-29.500,12,4.758,1,quiet
-58.500,-26.500,36,4.928,1,quiet
-58.500,-25.500,397,4.851,2,hotspot
-58.500,-24.500,130,4.756,0,moderate
-58.500,-23.500,119,4.818,0,moderate
-58.500,-22.500,3,4.567,1,quiet
-58.500,-16.500,4,4.875,1,quiet
-58.500,-15.500,4,4.775,1,quiet
-58.500,-14.500,3,5.300,1,quiet
-58.500,-13.500,1,4.600,1,quiet
-58.500,-12.500,1,5.900,1,quiet
-58.500,-10.500,1,5.400,1,quiet
-58.500,-9.500,3,5.300,1,quiet
-58.500,-8.500,2,4.650,1,quiet
-58.500,-7.500,1,6.600,1,quiet
-58.500,148.500,12,4.858,1,quiet
-58.500,149.500,7,5.057,1,quiet
-58.500,150.500,1,4.500,1,quiet
-58.500,158.500,7,5.129,1,quiet
-58.500,159.500,1,6.800,1,quiet
-57.500,-150.500,2,4.950,1,quiet
-57.500,-148.500,1,4.700,1,quiet
-57.500,-147.500,9,4.978,1,quiet
-57.500,-142.500,6,5.267,1,quiet
-57.500,-141.500,2,5.100,1,quiet
-57.500,-140.500,3,4.733,1,quiet
-57.500,-139.500,2,5.300,1,quiet
-57.500,-68.500,5,4.660,1,quiet
-57.500,-67.500,57,4.882,0,moderate
-57.500,-66.500,24,4.942,1,quiet
