KMeans_ms 1 process: 0.895ms
										
Total lines processed: 293458					
Non-empty cells: 9915					
					
Cluster centroids (count	avgMag):				
Cluster 0: 11.86 4.92					
Cluster 1: 183.90 4.90					
Cluster 2: 640.09 4.92					
					
Cluster ranking:					
Rank 0: Cluster 0 (quiet)					
Rank 1: Cluster 1 (moderate)					
Rank 2: Cluster 2 (hotspot)					
					
Hotspot map:					
lat	lon	count	avgMag	cluster	label
-27.5	173.5	8	5.125	0	quiet
-27.5	178.5	5	4.86	0	quiet
-27.5	179.5	8	4.862	0	quiet
-26.5	-179.5	13	4.723	0	quiet
-26.5	-178.5	37	4.891	0	quiet
-26.5	-177.5	189	4.967	1	moderate
-26.5	-176.5	202	4.871	1	moderate
-26.5	-175.5	63	5.012	0	quiet
-26.5	-174.5	3	4.633	0	quiet
-26.5	-173.5	2	4.75	0	quiet
-26.5	-141.5	3	5	0	quiet
-26.5	-140.5	1	4.8	0	quiet
-26.5	-139.5	2	5	0	quiet
-26.5	-115.5	25	4.976	0	quiet
-26.5	-114.5	78	5.09	0	quiet
-26.5	-113.5	30	5.253	0	quiet
-26.5	-112.5	9	5.1	0	quiet
-26.5	-111.5	1	4.8	0	quiet
-26.5	-109.5	1	5	0	quiet
-26.5	-108.5	4	5.825	0	quiet
-26.5	-107.5	15	4.813	0	quiet
-26.5	-106.5	2	5.45	0	quiet
-26.5	-105.5	1	4.9	0	quiet
-26.5	-72.5	1	5.2	0	quiet
-26.5	-71.5	50	4.79	0	quiet
-26.5	-70.5	97	5.175	0	quiet
-26.5	-69.5	15	4.913	0	quiet
-26.5	-68.5	7	4.671	0	quiet
-26.5	-67.5	10	4.93	0	quiet
-26.5	-66.5	5	4.86	0	quiet
-26.5	-65.5	4	5.225	0	quiet
-26.5	-64.5	10	5.052	0	quiet
-26.5	-63.5	28	5.753	0	quiet
-26.5	-60.5	1	5	0	quiet
-26.5	-15.5	1	4.8	0	quiet
-26.5	-13.5	40	4.777	0	quiet
-26.5	-12.5	2	4.7	0	quiet
-26.5	-11.5	9	4.667	0	quiet
-26.5	26.5	98	4.773	1	moderate
-26.5	27.5	62	4.687	0	quiet
-26.5	28.5	10	4.81	0	quiet
-26.5	29.5	2	4.65	0	quiet
-26.5	30.5	1	4.5	0	quiet
-26.5	36.5	1	4.7	0	quiet
-26.5	38.5	1	4.9	0	quiet
-26.5	40.5	2	4.6	0	quiet
-26.5	66.5	1	4.6	0	quiet
-26.5	67.5	66	4.83	0	quiet
-26.5	68.5	8	4.838	0	quiet
-26.5	69.5	1	5.1	0	quiet
-26.5	70.5	41	4.807	0	quiet
-26.5	71.5	47	4.694	0	quiet
-26.5	72.5	3	4.7	0	quiet
-26.5	74.5	6	5.15	0	quiet
-26.5	75.5	4	4.85	0	quiet
-26.5	83.5	1	5	0	quiet
-26.5	84.5	4	5.475	0	quiet
-26.5	85.5	1	4.7	0	quiet
-26.5	98.5	1	5.3	0	quiet
-26.5	116.5	1	6.18	0	quiet
-26.5	121.5	1	4.5	0	quiet
-26.5	125.5	1	4.5	0	quiet
-26.5	131.5	3	5.033	0	quiet
-26.5	132.5	2	5.55	0	quiet
-26.5	152.5	1	4.9	0	quiet
-26.5	155.5	1	4.6	0	quiet
-26.5	167.5	1	5.6	0	quiet
-26.5	170.5	1	5.4	0	quiet
-26.5	172.5	1	4.9	0	quiet
-26.5	175.5	1	5.71	0	quiet
-26.5	176.5	1	4.5	0	quiet
-26.5	178.5	87	5.067	0	quiet
-26.5	179.5	56	4.775	0	quiet
-25.5	-179.5	82	4.782	0	quiet
-25.5	-178.5	24	4.929	0	quiet
-25.5	-177.5	144	4.907	1	moderate
-25.5	-176.5	130	4.891	1	moderate
-25.5	-175.5	96	4.894	0	quiet
-25.5	-174.5	19	4.726	0	quiet
-25.5	-129.5	3	4.767	0	quiet
-25.5	-116.5	10	5.21	0	quiet
-25.5	-115.5	11	5.111	0	quiet
-25.5	-114.5	2	4.7	0	quiet
-25.5	-113.5	1	6.22	0	quiet
-25.5	-112.5	6	5.217	0	quiet
-25.5	-111.5	4	4.75	0	quiet
-25.5	-105.5	1	4.8	0	quiet
-25.5	-84.5	1	4.6	0	quiet
-25.5	-73.5	1	4.9	0	quiet
-25.5	-71.5	10	4.72	0	quiet
-25.5	-70.5	108	5.091	1	moderate
-25.5	-69.5	23	4.933	0	quiet
-25.5	-68.5	24	4.933	0	quiet
-25.5	-67.5	5	5.14	0	quiet
-25.5	-66.5	6	4.917	0	quiet
-25.5	-65.5	5	5.222	0	quiet
-25.5	-64.5	8	4.888	0	quiet
-25.5	-63.5	5	5.34	0	quiet
-25.5	-45.5	1	5.2	0	quiet
-25.5	-14.5	1	5.4	0	quiet
-25.5	-13.5	34	4.968	0	quiet
-25.5	-12.5	1	4.7	0	quiet
-25.5	-1.5	1	4.8	0	quiet
-25.5	2.5	1	5.3	0	quiet
-25.5	27.5	2	4.5	0	quiet
-25.5	28.5	3	4.8	0	quiet
-25.5	30.5	1	4.6	0	quiet
-25.5	36.5	1	4.6	0	quiet
-25.5	47.5	1	5.3	0	quiet
-25.5	55.5	1	4.7	0	quiet
-25.5	67.5	2	4.8	0	quiet
-25.5	68.5	4	5.095	0	quiet
-25.5	69.5	44	4.798	0	quiet
-25.5	70.5	59	4.768	0	quiet
-25.5	71.5	4	4.575	0	quiet
-25.5	75.5	2	4.55	0	quiet
-25.5	76.5	1	4.6	0	quiet
-25.5	78.5	1	4.6	0	quiet
-25.5	82.5	1	4.9	0	quiet
-25.5	83.5	1	5.4	0	quiet
-25.5	84.5	5	5.1	0	quiet
-25.5	87.5	2	4.8	0	quiet
-25.5	112.5	1	4.7	0	quiet
-25.5	113.5	1	4.9	0	quiet
-25.5	115.5	1	4.5	0	quiet
-25.5	117.5	1	4.5	0	quiet
-25.5	129.5	2	5.25	0	quiet
-25.5	130.5	2	5.3	0	quiet
-25.5	136.5	1	5.27	0	quiet
-25.5	137.5	2	5.425	0	quiet
-25.5	153.5	1	4.9	0	quiet
-25.5	170.5	3	5.303	0	quiet
-25.5	173.5	1	4.5	0	quiet
-25.5	177.5	2	4.85	0	quiet
-25.5	178.5	93	5.115	0	quiet
-25.5	179.5	341	4.82	1	moderate
-24.5	-179.5	371	4.749	1	moderate
-24.5	-178.5	32	4.791	0	quiet
-24.5	-177.5	157	4.861	1	moderate
-24.5	-176.5	222	4.955	1	moderate
-24.5	-175.5	301	5.009	1	moderate
-24.5	-174.5	24	5.018	0	quiet
-24.5	-173.5	2	4.7	0	quiet
-24.5	-172.5	3	4.633	0	quiet
-24.5	-129.5	1	4.8	0	quiet
-24.5	-128.5	1	5.6	0	quiet
-24.5	-122.5	1	6.19	0	quiet
-24.5	-117.5	1	5	0	quiet
-24.5	-116.5	32	5.013	0	quiet
-24.5	-115.5	60	4.828	0	quiet
-24.5	-114.5	2	4.8	0	quiet
-24.5	-113.5	1	6.15	0	quiet
-24.5	-112.5	17	5.175	0	quiet
-24.5	-111.5	28	5.082	0	quiet
-24.5	-82.5	1	4.5	0	quiet
-24.5	-71.5	5	4.84	0	quiet
-24.5	-70.5	141	5.165	1	moderate
-24.5	-69.5	62	4.952	0	quiet
-24.5	-68.5	48	4.962	0	quiet
-24.5	-67.5	289	4.725	1	moderate
-24.5	-66.5	323	4.762	1	moderate
-24.5	-65.5	10	4.89	0	quiet
-24.5	-64.5	19	5.203	0	quiet
-24.5	-63.5	7	5.571	0	quiet
-24.5	-58.5	1	5.1	0	quiet
-24.5	-15.5	1	4.5	0	quiet
-24.5	-14.5	2	4.7	0	quiet
-24.5	-13.5	21	4.867	0	quiet
-24.5	-9.5	1	5.8	0	quiet
-24.5	28.5	1	4.8	0	quiet
-24.5	36.5	1	4.5	0	quiet
-24.5	37.5	2	5.1	0	quiet
-24.5	68.5	1	4.5	0	quiet
-24.5	69.5	27	4.722	0	quiet
-24.5	70.5	16	4.756	0	quiet
-24.5	80.5	1	5.55	0	quiet
-24.5	82.5	1	4.6	0	quiet
-24.5	83.5	1	4.8	0	quiet
-24.5	84.5	1	4.6	0	quiet
-24.5	88.5	1	5.1	0	quiet
-24.5	113.5	1	4.5	0	quiet
-24.5	169.5	1	5.2	0	quiet
-24.5	170.5	2	4.6	0	quiet
-24.5	171.5	1	4.5	0	quiet
-24.5	176.5	1	5.3	0	quiet
-24.5	177.5	2	4.7	0	quiet
-24.5	178.5	75	4.98	0	quiet
-24.5	179.5	493	4.752	2	hotspot
-23.5	-179.5	780	4.767	2	hotspot
-23.5	-178.5	45	4.818	0	quiet
-23.5	-177.5	163	4.996	1	moderate
-23.5	-176.5	160	4.911	1	moderate
-23.5	-175.5	602	4.96	2	hotspot
-23.5	-174.5	147	4.859	1	moderate
-23.5	-173.5	10	4.65	0	quiet
-23.5	-172.5	1	4.5	0	quiet
-23.5	-171.5	2	4.55	0	quiet
-23.5	-116.5	1	4.5	0	quiet
-23.5	-115.5	44	4.876	0	quiet
-23.5	-114.5	56	4.773	0	quiet
-23.5	-113.5	9	4.817	0	quiet
-23.5	-112.5	13	5.218	0	quiet
-23.5	-111.5	39	4.908	0	quiet
-23.5	-72.5	1	4.9	0	quiet
-23.5	-71.5	7	4.729	0	quiet
-23.5	-70.5	183	5.047	1	moderate
-23.5	-69.5	74	4.894	0	quiet
-23.5	-68.5	137	4.886	1	moderate
-23.5	-67.5	104	4.954	1	moderate
-23.5	-66.5	353	4.758	1	moderate
-23.5	-65.5	5	5.04	0	quiet
-23.5	-64.5	29	4.961	0	quiet
-23.5	-63.5	9	5.022	0	quiet
-23.5	-61.5	1	6.5	0	quiet
-23.5	-60.5	1	5.1	0	quiet
-23.5	-14.5	1	4.5	0	quiet
-23.5	-13.5	16	4.825	0	quiet
-23.5	-12.5	1	4.8	0	quiet
-23.5	17.5	1	5	0	quiet
-23.5	25.5	1	4.9	0	quiet
-23.5	26.5	1	4.5	0	quiet
-23.5	30.5	1	4.5	0	quiet
-23.5	37.5	1	4.5	0	quiet
-23.5	38.5	2	4.55	0	quiet
-23.5	39.5	3	4.933	0	quiet
-23.5	43.5	1	5.3	0	quiet
-23.5	44.5	1	4.9	0	quiet
-23.5	65.5	1	6.45	0	quiet
-23.5	68.5	2	4.6	0	quiet
-23.5	69.5	83	4.784	0	quiet
-23.5	70.5	2	4.85	0	quiet
-23.5	77.5	1	4.9	0	quiet
-23.5	82.5	15	4.913	0	quiet
-23.5	84.5	1	4.6	0	quiet
-23.5	112.5	2	5.2	0	quiet
-23.5	113.5	1	4.5	0	quiet
-23.5	119.5	1	4.7	0	quiet
-23.5	130.5	1	5	0	quiet
-23.5	152.5	2	4.7	0	quiet
-23.5	166.5	1	4.6	0	quiet
-23.5	168.5	2	4.8	0	quiet
-23.5	169.5	66	4.949	0	quiet
-23.5	170.5	273	4.87	1	moderate
-23.5	171.5	255	4.879	1	moderate
-23.5	172.5	41	4.746	0	quiet
-23.5	173.5	10	4.65	0	quiet
-23.5	175.5	3	4.967	0	quiet
-23.5	176.5	1	4.5	0	quiet
-23.5	178.5	50	5.014	0	quiet
-23.5	179.5	471	4.842	2	hotspot
-22.5	-179.5	469	4.88	2	hotspot
-22.5	-178.5	59	4.905	0	quiet
-22.5	-177.5	68	4.918	0	quiet
-22.5	-176.5	203	4.884	1	moderate
-22.5	-175.5	300	4.94	1	moderate
-22.5	-174.5	276	4.95	1	moderate
-22.5	-173.5	39	4.768	0	quiet
-22.5	-172.5	3	4.667	0	quiet
-22.5	-171.5	2	4.6	0	quiet
-22.5	-139.5	1	4.8	0	quiet
-22.5	-138.5	19	5.232	0	quiet
-22.5	-115.5	3	4.7	0	quiet
-22.5	-114.5	30	4.963	0	quiet
-22.5	-113.5	28	5.279	0	quiet
-22.5	-112.5	36	4.875	0	quiet
-22.5	-71.5	6	4.683	0	quiet
-22.5	-70.5	98	5.024	1	moderate
-22.5	-69.5	63	4.993	0	quiet
-22.5	-68.5	314	4.873	1	moderate
-22.5	-67.5	97	4.778	0	quiet
-22.5	-66.5	189	4.829	1	moderate
-22.5	-65.5	30	4.893	0	quiet
-22.5	-64.5	4	5.5	0	quiet
-22.5	-63.5	46	4.825	0	quiet
-22.5	-25.5	1	4.7	0	quiet
-22.5	-13.5	8	5.025	0	quiet
-22.5	-12.5	53	4.834	0	quiet
-22.5	-11.5	4	5	0	quiet
-22.5	-10.5	14	4.95	0	quiet
-22.5	7.5	2	5	0	quiet
-22.5	25.5	9	4.956	0	quiet
-22.5	29.5	1	5.2	0	quiet
-22.5	32.5	1	6.13	0	quiet
-22.5	38.5	1	4.8	0	quiet
-22.5	39.5	3	4.567	0	quiet
-22.5	45.5	1	5	0	quiet
-22.5	48.5	1	4.5	0	quiet
-22.5	64.5	2	5.27	0	quiet
-22.5	68.5	3	4.7	0	quiet
-22.5	69.5	53	4.828	0	quiet
-22.5	70.5	2	4.85	0	quiet
-22.5	71.5	1	4.8	0	quiet
-22.5	121.5	1	4.5	0	quiet
-22.5	126.5	5	5.38	0	quiet
-22.5	127.5	1	5.2	0	quiet
-22.5	129.5	3	4.667	0	quiet
-22.5	166.5	2	5.4	0	quiet
-22.5	167.5	3	4.533	0	quiet
-22.5	168.5	11	4.773	0	quiet
-22.5	169.5	394	4.923	1	moderate
-22.5	170.5	559	4.992	2	hotspot
-22.5	171.5	481	5.02	2	hotspot
-22.5	172.5	159	4.871	1	moderate
-22.5	173.5	117	4.892	1	moderate
-22.5	174.5	36	5.228	0	quiet
-22.5	175.5	10	5.634	0	quiet
-22.5	176.5	1	4.9	0	quiet
-22.5	178.5	6	5.487	0	quiet
-22.5	179.5	95	4.985	0	quiet
-21.5	-179.5	530	4.964	2	hotspot
-21.5	-178.5	326	4.868	1	moderate
-21.5	-177.5	90	4.838	0	quiet
-21.5	-176.5	200	4.953	1	moderate
-21.5	-175.5	152	5.057	1	moderate
-21.5	-174.5	418	5.072	2	hotspot
-21.5	-173.5	168	4.976	1	moderate
-21.5	-172.5	8	4.625	0	quiet
-21.5	-171.5	2	5.2	0	quiet
-21.5	-139.5	18	5.339	0	quiet
-21.5	-138.5	39	5.405	0	quiet
-21.5	-129.5	1	5.3	0	quiet
-21.5	-126.5	3	4.833	0	quiet
-21.5	-114.5	8	5.201	0	quiet
-21.5	-113.5	15	5.16	0	quiet
-21.5	-112.5	2	4.9	0	quiet
-21.5	-110.5	1	5.8	0	quiet
-21.5	-71.5	7	4.8	0	quiet
-21.5	-70.5	43	4.944	0	quiet
-21.5	-69.5	76	4.972	0	quiet
-21.5	-68.5	520	4.807	2	hotspot
-21.5	-67.5	106	4.736	1	moderate
-21.5	-66.5	92	4.695	0	quiet
-21.5	-65.5	17	5.147	0	quiet
-21.5	-64.5	1	5.1	0	quiet
-21.5	-63.5	7	5.187	0	quiet
-21.5	-15.5	1	5.1	0	quiet
-21.5	-13.5	1	4.7	0	quiet
-21.5	-11.5	29	4.828	0	quiet
-21.5	-10.5	1	4.7	0	quiet
-21.5	16.5	1	4.8	0	quiet
-21.5	32.5	3	4.667	0	quiet
-21.5	33.5	70	4.858	0	quiet
-21.5	34.5	2	4.55	0	quiet
-21.5	35.5	1	4.8	0	quiet
-21.5	38.5	1	5	0	quiet
-21.5	45.5	1	5.6	0	quiet
-21.5	55.5	1	5.3	0	quiet
-21.5	68.5	14	4.629	0	quiet
-21.5	69.5	7	4.671	0	quiet
-21.5	80.5	1	5.1	0	quiet
-21.5	81.5	1	5.3	0	quiet
-21.5	87.5	1	5.1	0	quiet
-21.5	97.5	1	4.8	0	quiet
-21.5	114.5	1	5.2	0	quiet
-21.5	117.5	1	4.5	0	quiet
-21.5	120.5	2	5.05	0	quiet
-21.5	126.5	3	4.9	0	quiet
-21.5	127.5	2	5.15	0	quiet
-21.5	131.5	1	4.5	0	quiet
-21.5	132.5	1	4.9	0	quiet
-21.5	167.5	4	4.995	0	quiet
-21.5	168.5	343	4.834	1	moderate
-21.5	169.5	561	5.013	2	hotspot
-21.5	170.5	301	5.02	1	moderate
-21.5	171.5	38	4.987	0	quiet
-21.5	172.5	10	4.827	0	quiet
-21.5	173.5	53	5.258	0	quiet
-21.5	174.5	29	5.229	0	quiet
-21.5	175.5	30	5.05	0	quiet
-21.5	176.5	6	4.933	0	quiet
-21.5	177.5	1	4.8	0	quiet
-21.5	178.5	1	4.8	0	quiet
-21.5	179.5	11	4.873	0	quiet
-20.5	-179.5	90	4.992	0	quiet
-20.5	-178.5	927	4.853	2	hotspot
-20.5	-177.5	492	4.797	2	hotspot
-20.5	-176.5	127	4.945	1	moderate
-20.5	-175.5	299	4.862	1	moderate
-20.5	-174.5	417	5.003	2	hotspot
-20.5	-173.5	419	5.029	2	hotspot
-20.5	-172.5	22	4.782	0	quiet
-20.5	-171.5	2	4.8	0	quiet
-20.5	-126.5	13	5.215	0	quiet
-20.5	-115.5	1	4.5	0	quiet
-20.5	-114.5	6	4.783	0	quiet
-20.5	-113.5	9	4.867	0	quiet
-20.5	-112.5	1	4.6	0	quiet
-20.5	-110.5	1	4.7	0	quiet
-20.5	-109.5	1	4.8	0	quiet
-20.5	-105.5	1	5.2	0	quiet
-20.5	-71.5	21	4.767	0	quiet
-20.5	-70.5	231	4.978	1	moderate
-20.5	-69.5	142	4.812	1	moderate
-20.5	-68.5	224	4.899	1	moderate
-20.5	-67.5	40	4.81	0	quiet
-20.5	-66.5	19	4.863	0	quiet
-20.5	-65.5	5	4.96	0	quiet
-20.5	-64.5	2	5.4	0	quiet
-20.5	-63.5	5	5.08	0	quiet
-20.5	-62.5	1	5.3	0	quiet
-20.5	-12.5	6	4.733	0	quiet
-20.5	-11.5	48	4.756	0	quiet
-20.5	-10.5	1	4.9	0	quiet
-20.5	-7.5	1	4.6	0	quiet
-20.5	14.5	5	4.86	0	quiet
-20.5	32.5	2	5.05	0	quiet
-20.5	33.5	3	5.07	0	quiet
-20.5	41.5	2	5.05	0	quiet
-20.5	45.5	1	4.7	0	quiet
-20.5	46.5	1	5.5	0	quiet
-20.5	47.5	1	4.8	0	quiet
-20.5	59.5	1	4.8	0	quiet
-20.5	64.5	1	5.2	0	quiet
-20.5	65.5	2	4.5	0	quiet
-20.5	66.5	88	4.785	0	quiet
-20.5	67.5	71	4.756	0	quiet
-20.5	68.5	21	4.952	0	quiet
-20.5	72.5	1	4.5	0	quiet
-20.5	73.5	1	4.7	0	quiet
-20.5	78.5	1	4.6	0	quiet
-20.5	94.5	2	4.85	0	quiet
-20.5	112.5	1	5.1	0	quiet
-20.5	113.5	1	4.5	0	quiet
-20.5	114.5	2	4.5	0	quiet
-20.5	116.5	1	4.8	0	quiet
-20.5	119.5	2	4.95	0	quiet
-20.5	133.5	20	4.88	0	quiet
-20.5	134.5	2	5.05	0	quiet
-20.5	146.5	1	4.7	0	quiet
-20.5	147.5	1	5	0	quiet
-20.5	151.5	1	4.7	0	quiet
-20.5	156.5	1	5	0	quiet
-20.5	162.5	1	5.7	0	quiet
-20.5	165.5	2	4.7	0	quiet
-20.5	166.5	1	4.9	0	quiet
-20.5	167.5	9	4.778	0	quiet
-20.5	168.5	517	4.937	2	hotspot
-20.5	169.5	390	5.105	1	moderate
-20.5	170.5	39	4.882	0	quiet
-20.5	171.5	3	4.6	0	quiet
-20.5	172.5	42	5.006	0	quiet
-20.5	173.5	30	5.184	0	quiet
-20.5	174.5	17	5.024	0	quiet
-20.5	176.5	5	4.92	0	quiet
-20.5	177.5	7	4.871	0	quiet
-20.5	178.5	10	5.15	0	quiet
-20.5	179.5	6	4.95	0	quiet
-19.5	-179.5	40	5.108	0	quiet
-19.5	-178.5	151	4.836	1	moderate
-19.5	-177.5	403	4.788	1	moderate
-19.5	-176.5	122	4.965	1	moderate
-19.5	-175.5	276	4.908	1	moderate
-19.5	-174.5	184	4.889	1	moderate
-19.5	-173.5	258	5.002	1	moderate
-19.5	-172.5	122	4.916	1	moderate
-19.5	-171.5	3	4.7	0	quiet
-19.5	-170.5	1	5.3	0	quiet
-19.5	-127.5	1	4.7	0	quiet
-19.5	-126.5	4	5.05	0	quiet
-19.5	-125.5	2	5.1	0	quiet
-19.5	-115.5	1	4.9	0	quiet
-19.5	-112.5	1	4.7	0	quiet
-19.5	-85.5	1	4.6	0	quiet
-19.5	-71.5	55	4.843	0	quiet
-19.5	-70.5	212	4.931	1	moderate
-19.5	-69.5	235	4.907	1	moderate
-19.5	-68.5	92	4.933	0	quiet
-19.5	-67.5	18	4.706	0	quiet
-19.5	-66.5	22	4.927	0	quiet
-19.5	-65.5	1	4.5	0	quiet
-19.5	-64.5	3	4.833	0	quiet
-19.5	-63.5	14	5.229	0	quiet
-19.5	-12.5	8	4.963	0	quiet
-19.5	-11.5	25	4.873	0	quiet
-19.5	14.5	6	4.917	0	quiet
-19.5	17.5	1	4.8	0	quiet
-19.5	23.5	3	5.443	0	quiet
-19.5	27.5	1	4.7	0	quiet
-19.5	31.5	1	4.5	0	quiet
-19.5	33.5	2	4.6	0	quiet
-19.5	34.5	3	4.9	0	quiet
-19.5	41.5	3	4.667	0	quiet
-19.5	43.5	1	4.6	0	quiet
-19.5	65.5	12	4.642	0	quiet
-19.5	66.5	16	5.006	0	quiet
-19.5	67.5	9	4.711	0	quiet
-19.5	113.5	1	5.3	0	quiet
-19.5	115.5	1	4.8	0	quiet
-19.5	121.5	1	5	0	quiet
-19.5	126.5	1	4.7	0	quiet
-19.5	127.5	1	4.8	0	quiet
-19.5	128.5	1	4.9	0	quiet
-19.5	133.5	16	5.2	0	quiet
-19.5	134.5	3	4.7	0	quiet
-19.5	148.5	2	5.35	0	quiet
-19.5	161.5	1	4.6	0	quiet
-19.5	163.5	4	4.825	0	quiet
-19.5	166.5	1	4.6	0	quiet
-19.5	167.5	130	4.938	1	moderate
-19.5	168.5	352	5.002	1	moderate
-19.5	169.5	433	4.969	2	hotspot
-19.5	170.5	15	4.948	0	quiet
-19.5	172.5	1	4.5	0	quiet
-19.5	173.5	27	4.859	0	quiet
-19.5	174.5	11	5.219	0	quiet
-19.5	175.5	14	5.199	0	quiet
-19.5	176.5	44	5.105	0	quiet
-19.5	177.5	32	5.024	0	quiet
-19.5	178.5	12	5.026	0	quiet
-19.5	179.5	10	4.71	0	quiet
-18.5	-179.5	44	4.791	0	quiet
-18.5	-178.5	546	4.871	2	hotspot
-18.5	-177.5	430	4.789	2	hotspot
-18.5	-176.5	61	4.994	0	quiet
-18.5	-175.5	240	4.932	1	moderate
-18.5	-174.5	275	4.875	1	moderate
-18.5	-173.5	232	4.874	1	moderate
-18.5	-172.5	212	4.852	1	moderate
-18.5	-171.5	8	4.75	0	quiet
-18.5	-135.5	1	4.8	0	quiet
-18.5	-132.5	3	5.197	0	quiet
-18.5	-115.5	1	4.7	0	quiet
-18.5	-73.5	2	4.8	0	quiet
-18.5	-72.5	12	4.883	0	quiet
-18.5	-71.5	40	4.987	0	quiet
-18.5	-70.5	36	5.023	0	quiet
-18.5	-69.5	190	4.898	1	moderate
-18.5	-68.5	15	4.867	0	quiet
-18.5	-67.5	16	4.9	0	quiet
-18.5	-66.5	10	4.62	0	quiet
-18.5	-65.5	5	5	0	quiet
-18.5	-64.5	1	5.1	0	quiet
-18.5	-63.5	24	4.988	0	quiet
-18.5	-56.5	1	5.46	0	quiet
-18.5	-55.5	1	4.9	0	quiet
-18.5	-13.5	4	4.95	0	quiet
-18.5	-12.5	14	4.976	0	quiet
-18.5	-11.5	1	4.7	0	quiet
-18.5	27.5	3	4.6	0	quiet
-18.5	34.5	6	4.7	0	quiet
-18.5	35.5	1	4.8	0	quiet
-18.5	36.5	1	5	0	quiet
-18.5	43.5	1	6.05	0	quiet
-18.5	44.5	1	5.1	0	quiet
-18.5	46.5	1	5.6	0	quiet
-18.5	48.5	1	5.6	0	quiet
-18.5	64.5	4	4.675	0	quiet
-18.5	65.5	69	4.881	0	quiet
-18.5	66.5	2	6.185	0	quiet
-18.5	67.5	7	5.229	0	quiet
-18.5	69.5	1	4.6	0	quiet
-18.5	85.5	1	4.7	0	quiet
-18.5	120.5	15	4.84	0	quiet
-18.5	121.5	1	4.5	0	quiet
-18.5	122.5	1	5.3	0	quiet
-18.5	126.5	1	4.6	0	quiet
-18.5	147.5	1	4.8	0	quiet
-18.5	165.5	1	4.5	0	quiet
-18.5	166.5	3	4.767	0	quiet
-18.5	167.5	254	4.857	1	moderate
-18.5	168.5	350	4.997	1	moderate
-18.5	169.5	302	4.88	1	moderate
-18.5	170.5	6	4.873	0	quiet
-18.5	172.5	9	5.044	0	quiet
-18.5	173.5	10	5.083	0	quiet
-18.5	174.5	2	5.5	0	quiet
-18.5	175.5	17	5.088	0	quiet
-18.5	176.5	66	5.037	0	quiet
-18.5	177.5	1	5.4	0	quiet
-18.5	178.5	7	5.381	0	quiet
-18.5	179.5	9	5.274	0	quiet
-17.5	-179.5	171	4.863	1	moderate
-17.5	-178.5	1435	4.825	2	hotspot
-17.5	-177.5	150	4.849	1	moderate
-17.5	-176.5	109	4.953	1	moderate
-17.5	-175.5	122	4.871	1	moderate
-17.5	-174.5	375	4.886	1	moderate
-17.5	-173.5	272	4.904	1	moderate
-17.5	-172.5	273	4.927	1	moderate
-17.5	-171.5	28	5.089	0	quiet
-17.5	-149.5	1	4.8	0	quiet
-17.5	-136.5	1	5	0	quiet
-17.5	-116.5	18	5.133	0	quiet
-17.5	-115.5	11	5.127	0	quiet
-17.5	-114.5	1	4.7	0	quiet
-17.5	-100.5	1	5.44	0	quiet
-17.5	-99.5	2	4.9	0	quiet
-17.5	-77.5	1	4.5	0	quiet
-17.5	-76.5	1	4.7	0	quiet
-17.5	-74.5	6	4.817	0	quiet
-17.5	-73.5	46	4.811	0	quiet
-17.5	-72.5	144	4.978	1	moderate
-17.5	-71.5	71	5.017	0	quiet
-17.5	-70.5	89	4.917	0	quiet
-17.5	-69.5	174	4.839	1	moderate
-17.5	-68.5	5	4.72	0	quiet
-17.5	-66.5	7	4.976	0	quiet
-17.5	-65.5	20	5.13	0	quiet
-17.5	-64.5	14	4.912	0	quiet
-17.5	-63.5	11	4.764	0	quiet
-17.5	-16.5	3	4.9	0	quiet
-17.5	-15.5	1	4.8	0	quiet
-17.5	-14.5	19	4.926	0	quiet
-17.5	-13.5	44	4.934	0	quiet
-17.5	-12.5	6	5.117	0	quiet
-17.5	-6.5	1	4.7	0	quiet
-17.5	13.5	1	4.7	0	quiet
-17.5	24.5	1	4.9	0	quiet
-17.5	25.5	1	5	0	quiet
-17.5	26.5	1	5.2	0	quiet
-17.5	27.5	1	4.7	0	quiet
-17.5	35.5	5	4.66	0	quiet
-17.5	40.5	1	4.5	0	quiet
-17.5	41.5	12	5.043	0	quiet
-17.5	49.5	1	5.4	0	quiet
-17.5	63.5	1	6.16	0	quiet
-17.5	64.5	4	5.245	0	quiet
-17.5	65.5	29	5.071	0	quiet
-17.5	66.5	58	5.252	0	quiet
-17.5	67.5	4	4.65	0	quiet
-17.5	68.5	1	5.1	0	quiet
-17.5	76.5	1	4.7	0	quiet
-17.5	89.5	1	4.9	0	quiet
-17.5	97.5	1	4.8	0	quiet
-17.5	120.5	2	4.65	0	quiet
-17.5	122.5	3	4.967	0	quiet
-17.5	123.5	1	4.5	0	quiet
-17.5	124.5	1	4.5	0	quiet
-17.5	164.5	1	4.6	0	quiet
-17.5	165.5	1	4.5	0	quiet
-17.5	166.5	21	4.762	0	quiet
-17.5	167.5	995	4.932	2	hotspot
-17.5	168.5	278	4.991	1	moderate
-17.5	169.5	15	5.067	0	quiet
-17.5	171.5	8	5.05	0	quiet
-17.5	172.5	6	5.15	0	quiet
-17.5	173.5	8	5.076	0	quiet
-17.5	174.5	10	5.513	0	quiet
-17.5	175.5	16	5.033	0	quiet
-17.5	176.5	27	4.911	0	quiet
-17.5	177.5	3	4.933	0	quiet
-17.5	178.5	15	4.98	0	quiet
