Total lines processed: 293452
Non-empty cells: 9915

Cluster centroids (count, avgMag):
• Cluster 0: count_center=11.86, avgMag_center=4.92
• Cluster 1: count_center=183.90, avgMag_center=4.90
• Cluster 2: count_center=640.09, avgMag_center=4.92

========================================================
Pthreads K-Means execution time with 2 threads: 4.023 ms
========================================================

Cluster ranking by activity:
• Rank 0: Cluster 0 (quiet)
• Rank 1: Cluster 1 (moderate)
• Rank 2: Cluster 2 (hotspot)

Hotspot map (one line per non-empty cell):
lat_center,lon_center,count,avgMag,clusterId,clusterLabel
-62.500,158.500,1,5.200,0,quiet
-62.500,160.500,3,5.000,0,quiet
-62.500,161.500,3,5.600,0,quiet
-62.500,162.500,3,5.333,0,quiet
-62.500,163.500,5,4.980,0,quiet
-62.500,164.500,26,5.023,0,quiet
-62.500,165.500,35,5.094,0,quiet
-62.500,166.500,8,5.450,0,quiet
-62.500,167.500,6,5.415,0,quiet
-62.500,168.500,4,4.925,0,quiet
-62.500,170.500,3,4.733,0,quiet
-62.500,171.500,1,5.100,0,quiet
-61.500,-161.500,2,5.100,0,quiet
-61.500,-155.500,2,4.700,0,quiet
-61.500,-153.500,1,4.500,0,quiet
-61.500,-67.500,2,5.050,0,quiet
-61.500,-66.500,1,5.100,0,quiet
-61.500,-65.500,1,4.700,0,quiet
-61.500,-64.500,1,5.200,0,quiet
-61.500,-62.500,1,5.000,0,quiet
-61.500,-59.500,1,5.000,0,quiet
-61.500,-58.500,5,4.980,0,quiet
-61.500,-57.500,4,4.675,0,quiet
-61.500,-56.500,12,5.000,0,quiet
-61.500,-55.500,37,4.914,0,quiet
-61.500,-54.500,8,4.725,0,quiet
-61.500,-53.500,9,4.811,0,quiet
-61.500,-52.500,2,4.900,0,quiet
-61.500,-51.500,1,5.000,0,quiet
-61.500,-45.500,1,4.500,0,quiet
-61.500,-42.500,1,4.800,0,quiet
-61.500,-40.500,1,4.600,0,quiet
-61.500,-39.500,1,5.300,0,quiet
-61.500,-38.500,2,4.650,0,quiet
-61.500,-37.500,3,5.467,0,quiet
-61.500,-36.500,4,4.925,0,quiet
-61.500,-35.500,3,4.767,0,quiet
-61.500,-34.500,3,5.733,0,quiet
-61.500,-33.500,2,4.900,0,quiet
-61.500,-29.500,1,6.200,0,quiet
-61.500,-28.500,1,4.600,0,quiet
-61.500,-27.500,2,4.600,0,quiet
-61.500,-26.500,2,4.850,0,quiet
-61.500,-25.500,6,4.767,0,quiet
-61.500,-24.500,4,4.675,0,quiet
-61.500,-23.500,3,4.767,0,quiet
-61.500,-22.500,4,5.508,0,quiet
-61.500,-21.500,1,4.700,0,quiet
-61.500,46.500,1,5.000,0,quiet
-61.500,150.500,1,6.340,0,quiet
-61.500,151.500,1,5.200,0,quiet
-61.500,152.500,1,4.600,0,quiet
-61.500,153.500,27,5.011,0,quiet
-61.500,154.500,62,5.302,0,quiet
-61.500,155.500,13,5.151,0,quiet
-61.500,156.500,1,4.600,0,quiet
-61.500,159.500,5,4.800,0,quiet
-61.500,160.500,17,5.161,0,quiet
-61.500,161.500,20,5.110,0,quiet
-61.500,162.500,3,4.800,0,quiet
-61.500,163.500,2,5.350,0,quiet
-61.500,165.500,1,4.700,0,quiet
-61.500,166.500,1,4.500,0,quiet
-61.500,167.500,1,4.600,0,quiet
-61.500,170.500,1,4.500,0,quiet
-60.500,-151.500,1,5.000,0,quiet
-60.500,-148.500,1,4.900,0,quiet
-60.500,-65.500,4,4.975,0,quiet
-60.500,-62.500,16,4.875,0,quiet
-60.500,-61.500,18,5.056,0,quiet
-60.500,-60.500,1,4.900,0,quiet
-60.500,-58.500,3,5.570,0,quiet
-60.500,-57.500,9,5.022,0,quiet
-60.500,-56.500,11,5.245,0,quiet
-60.500,-55.500,4,5.800,0,quiet
-60.500,-54.500,2,4.850,0,quiet
-60.500,-53.500,6,5.468,0,quiet
-60.500,-52.500,7,4.986,0,quiet
-60.500,-51.500,15,4.907,0,quiet
-60.500,-50.500,13,5.223,0,quiet
-60.500,-49.500,8,5.085,0,quiet
-60.500,-48.500,11,4.851,0,quiet
-60.500,-47.500,41,4.902,0,quiet
-60.500,-46.500,49,4.884,0,quiet
-60.500,-45.500,41,4.759,0,quiet
-60.500,-44.500,36,4.764,0,quiet
-60.500,-43.500,55,4.824,0,quiet
-60.500,-42.500,28,4.764,0,quiet
-60.500,-41.500,8,4.700,0,quiet
-60.500,-40.500,4,4.725,0,quiet
-60.500,-39.500,2,4.700,0,quiet
-60.500,-38.500,7,5.371,0,quiet
-60.500,-37.500,5,5.220,0,quiet
-60.500,-36.500,8,5.463,0,quiet
-60.500,-35.500,1,6.470,0,quiet
-60.500,-34.500,20,5.187,0,quiet
-60.500,-33.500,13,5.146,0,quiet
-60.500,-32.500,8,4.775,0,quiet
-60.500,-31.500,11,5.145,0,quiet
-60.500,-30.500,4,4.750,0,quiet
-60.500,-29.500,6,4.883,0,quiet
-60.500,-28.500,30,4.909,0,quiet
-60.500,-27.500,102,4.926,1,moderate
-60.500,-26.500,244,4.926,1,moderate
-60.500,-25.500,113,5.009,1,moderate
-60.500,-24.500,78,4.970,0,quiet
-60.500,-23.500,23,5.096,0,quiet
-60.500,-22.500,14,5.082,0,quiet
-60.500,-21.500,6,6.532,0,quiet
-60.500,-20.500,15,5.443,0,quiet
-60.500,-19.500,28,4.975,0,quiet
-60.500,-18.500,19,5.000,0,quiet
-60.500,82.500,1,4.600,0,quiet
-60.500,147.500,1,6.040,0,quiet
-60.500,148.500,1,5.860,0,quiet
-60.500,149.500,2,5.600,0,quiet
-60.500,150.500,7,5.643,0,quiet
-60.500,151.500,4,4.965,0,quiet
-60.500,152.500,8,4.838,0,quiet
-60.500,153.500,24,5.545,0,quiet
-60.500,154.500,18,5.751,0,quiet
-60.500,155.500,2,4.700,0,quiet
-60.500,159.500,8,4.937,0,quiet
-60.500,160.500,5,5.580,0,quiet
-60.500,162.500,1,4.700,0,quiet
-59.500,-159.500,4,5.425,0,quiet
-59.500,-151.500,26,4.900,0,quiet
-59.500,-150.500,10,5.503,0,quiet
-59.500,-148.500,2,4.900,0,quiet
-59.500,-76.500,1,4.900,0,quiet
-59.500,-65.500,3,5.457,0,quiet
-59.500,-64.500,1,4.900,0,quiet
-59.500,-62.500,2,4.700,0,quiet
-59.500,-61.500,7,5.086,0,quiet
-59.500,-60.500,5,4.780,0,quiet
-59.500,-59.500,3,5.033,0,quiet
-59.500,-58.500,8,4.975,0,quiet
-59.500,-53.500,1,5.000,0,quiet
-59.500,-50.500,1,4.500,0,quiet
-59.500,-40.500,1,4.700,0,quiet
-59.500,-32.500,1,4.700,0,quiet
-59.500,-31.500,3,5.300,0,quiet
-59.500,-30.500,4,4.825,0,quiet
-59.500,-29.500,35,5.046,0,quiet
-59.500,-28.500,17,5.042,0,quiet
-59.500,-27.500,62,4.996,0,quiet
-59.500,-26.500,396,4.996,1,moderate
-59.500,-25.500,364,4.823,1,moderate
-59.500,-24.500,69,4.754,0,quiet
-59.500,-23.500,32,4.894,0,quiet
-59.500,-22.500,2,4.800,0,quiet
-59.500,-21.500,2,5.100,0,quiet
-59.500,-20.500,6,5.520,0,quiet
-59.500,-19.500,5,4.840,0,quiet
-59.500,-18.500,18,5.094,0,quiet
-59.500,-17.500,19,5.258,0,quiet
-59.500,-16.500,7,5.386,0,quiet
-59.500,148.500,10,4.877,0,quiet
-59.500,149.500,33,5.109,0,quiet
-59.500,150.500,11,5.635,0,quiet
-59.500,154.500,1,6.200,0,quiet
-59.500,157.500,1,5.400,0,quiet
-59.500,158.500,9,5.611,0,quiet
-59.500,159.500,18,5.102,0,quiet
-59.500,160.500,2,4.650,0,quiet
-58.500,-159.500,2,4.800,0,quiet
-58.500,-152.500,1,4.500,0,quiet
-58.500,-150.500,1,4.600,0,quiet
-58.500,-149.500,7,4.957,0,quiet
-58.500,-148.500,2,4.600,0,quiet
-58.500,-147.500,1,4.800,0,quiet
-58.500,-146.500,1,4.600,0,quiet
-58.500,-144.500,1,4.900,0,quiet
-58.500,-143.500,1,5.500,0,quiet
-58.500,-142.500,1,6.160,0,quiet
-58.500,-139.500,29,4.969,0,quiet
-58.500,-129.500,1,6.170,0,quiet
-58.500,-121.500,1,4.600,0,quiet
-58.500,-65.500,3,5.823,0,quiet
-58.500,-64.500,1,5.400,0,quiet
-58.500,-63.500,1,5.500,0,quiet
-58.500,-62.500,5,5.120,0,quiet
